Shamsi Corporation,Upper Portion,PKR1.05 Crore,"Nazimabad, Karachi, Sindh",117 Sq. Yd.,For Sale,Karachi,+92 3174170375
Shamsi Corporation,Lower Portion,PKR1.9 Crore,"North Nazimabad, Karachi, Sindh",250 Sq. Yd.,For Sale,Karachi,+92 3238833359
Shamsi Corporation,Upper Portion,PKR75 Lakh,"Nazimabad, Karachi, Sindh",108 Sq. Yd.,For Sale,Karachi,+92 3171079819
Shamsi Corporation,Upper Portion,PKR1.15 Crore,"North Nazimabad, Karachi, Sindh",165 Sq. Yd.,For Sale,Karachi,+92 3477405752
Shamsi Corporation,Upper Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3340134928
SS Enterprises,Upper Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",350 Sq. Yd.,For Sale,Karachi,+92 3399240387
Xperts Real Estate,Upper Portion,PKR1.85 Crore,"Jamshed Town, Karachi, Sindh",106 Sq. Yd.,For Sale,Karachi,+92 3015202899
Xperts Real Estate,Upper Portion,PKR1.95 Crore,"North Nazimabad, Karachi, Sindh",220 Sq. Yd.,For Sale,Karachi,+92 3211865088
Xperts Real Estate,Lower Portion,PKR1.6 Crore,"North Nazimabad, Karachi, Sindh",160 Sq. Yd.,For Sale,Karachi,+92 3261878400
Xperts Real Estate,Upper Portion,PKR70 Lakh,"North Nazimabad, Karachi, Sindh",100 Sq. Yd.,For Sale,Karachi,+92 3233143629
Bilal Associates,Upper Portion,PKR3.25 Crore,"North Nazimabad, Karachi, Sindh",400 Sq. Yd.,For Sale,Karachi,+92 3365609917
Bilal Associates,Upper Portion,PKR5 Crore,"North Nazimabad, Karachi, Sindh",416 Sq. Yd.,For Sale,Karachi,+92 3387732212
Ideal Estate,Upper Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",600 Sq. Yd.,For Sale,Karachi,+92 3172336014
Combine Corporation Real Estate Solution,Upper Portion,PKR1.47 Crore,"North Nazimabad, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3338335265
Combine Corporation Real Estate Solution,Upper Portion,PKR2.35 Crore,"North Nazimabad, Karachi, Sindh",220 Sq. Yd.,For Sale,Karachi,+92 3261482551
Ghufraan Enterprises,Upper Portion,PKR3.5 Crore,"Clifton, Karachi, Sindh",244 Sq. Yd.,For Sale,Karachi,+92 3126813835
Ghufraan Enterprises,Upper Portion,PKR3.5 Crore,"Clifton, Karachi, Sindh",244 Sq. Yd.,For Sale,Karachi,+92 3314652874
Ghufraan Enterprises,Upper Portion,PKR3.3 Crore,"Clifton, Karachi, Sindh",244 Sq. Yd.,For Sale,Karachi,+92 3370250244
Ghufraan Enterprises,Upper Portion,PKR2.8 Crore,"Clifton, Karachi, Sindh",189 Sq. Yd.,For Sale,Karachi,+92 3138485695
Property Solutions,Upper Portion,PKR2.45 Crore,"Jamshed Town, Karachi, Sindh",183 Sq. Yd.,For Sale,Karachi,+92 3375109172
Estate Enterprises,Lower Portion,PKR2.52 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3301284470
Al Madina Estate Services,Upper Portion,PKR40 Lakh,"North Karachi, Karachi, Sindh",60 Sq. Yd.,For Sale,Karachi,+92 3351927041
Al Madina Estate Services,Lower Portion,PKR35 Lakh,"North Karachi, Karachi, Sindh",44 Sq. Yd.,For Sale,Karachi,+92 3370784978
Al Madina Estate Services,Upper Portion,PKR65 Lakh,"North Karachi, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3266050147
Shahid Estate Agency,Upper Portion,PKR1 Crore,"Nazimabad, Karachi, Sindh",139 Sq. Yd.,For Sale,Karachi,+92 3218041870
Alhamd Property Links,Upper Portion,PKR90 Lakh,"Nazimabad, Karachi, Sindh",130 Sq. Yd.,For Sale,Karachi,+92 3321907694
Haider Associates,Upper Portion,PKR1.05 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3319304046
Haider Associates,Upper Portion,PKR1.05 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3091675008
